JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000, -4.988190590833398E-01,  8.483522667525109E-01, -1.281808332485188E-04, -1.507506026735288E-02, -8.839380465930654E-03,  7.377759451113751E-07,  5.683890731990251E-03,  9.841351729509711E-01,  2.115444019169196E-05,
2453757.500000000, A.D. 2006-Jan-22 00:00:00.0000, -5.138160469976816E-01,  8.393817861530820E-01, -1.274525648129405E-04, -1.491813501722835E-02, -9.101156355649748E-03,  7.139146954516568E-07,  5.684027735347009E-03,  9.841588943468520E-01,  2.624799148219196E-05,
2453758.500000000, A.D. 2006-Jan-23 00:00:00.0000, -5.286537663097871E-01,  8.301508173323120E-01, -1.267627499965250E-04, -1.475652118988754E-02, -9.360342073080183E-03,  6.608440985461225E-07,  5.684193432143319E-03,  9.841875838577844E-01,  3.108634869823336E-05,
2453759.500000000, A.D. 2006-Jan-24 00:00:00.0000, -5.433275220374451E-01,  8.206619966875136E-01, -1.261405066666323E-04, -1.459020519120257E-02, -9.616843286631305E-03,  5.789271248032393E-07,  5.684386275351764E-03,  9.842209736242743E-01,  3.564458290383362E-05,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000, -5.578326033931407E-01,  8.109180614970788E-01, -1.256139669668712E-04, -1.441916924663400E-02, -9.870551608151134E-03,  4.698606148707110E-07,  5.684604584643226E-03,  9.842587727063538E-01,  3.990219411336371E-05,
2453761.500000000, A.D. 2006-Jan-26 00:00:00.0000, -5.721642809219742E-01,  8.009218670452285E-01, -1.252086553927119E-04, -1.424339468772738E-02, -1.012133831771063E-02,  3.372698348846021E-07,  5.684846587255557E-03,  9.843006741597721E-01,  4.384885216291972E-05,
2453762.500000000, A.D. 2006-Jan-27 00:00:00.0000, -5.863178091292899E-01,  7.906764100725201E-01, -1.249452472894140E-04, -1.406286986605976E-02, -1.036904840933291E-02,  1.873174317337938E-07,  5.685110499215509E-03,  9.843463690991364E-01,  4.749248419264607E-05,
2453763.500000000, A.D. 2006-Jan-28 00:00:00.0000, -6.002884396414234E-01,  7.801848566996005E-01, -1.248368264430790E-04, -1.387760322131235E-02, -1.061349826496791E-02,  2.903586039894737E-08,  5.685394656221531E-03,  9.843955693595661E-01,  5.086792208620998E-05,
2453764.500000000, A.D. 2006-Jan-29 00:00:00.0000, -6.140714492712380E-01,  7.694505691304903E-01, -1.248861105945060E-04, -1.368763937040077E-02, -1.085448106847340E-02, -1.260049987481617E-07,  5.685697687527577E-03,  9.844480376037400E-01,  5.404239049207349E-05,
2453765.500000000, A.D. 2006-Jan-30 00:00:00.0000, -6.276621834525236E-01,  7.584771218971784E-01, -1.250834681518703E-04, -1.349307256266829E-02, -1.109178239161071E-02, -2.649666455152529E-07,  5.686018701245942E-03,  9.845036194060897E-01,  5.711328338831948E-05,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000, -6.410561087171097E-01,  7.472682981952522E-01, -1.254066331776052E-04, -1.329405018182290E-02, -1.132520350357762E-02, -3.757979179311652E-07,  5.686357427769902E-03,  9.845622680856577E-01,  6.019586456305127E-05,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000, -6.542488616891380E-01,  7.358280622256583E-01, -1.258226046892523E-04, -1.309076212074958E-02, -1.155458440853460E-02, -4.494023025657620E-07,  5.686714268453910E-03,  9.846240531348136E-01,  6.340370960377090E-05,
2453768.500000000, A.D. 2006-Feb-02 00:00:00.0000, -6.672362813294813E-01,  7.241605126426239E-01, -1.262914011760572E-04, -1.288341903396600E-02, -1.177981728820880E-02, -4.810531800794859E-07,  5.687090227838173E-03,  9.846891484843024E-01,  6.682935586461655E-05,
2453769.500000000, A.D. 2006-Feb-03 00:00:00.0000, -6.800144174528013E-01,  7.122698294974383E-01, -1.267706282049141E-04, -1.267222829158603E-02, -1.200084597511321E-02, -4.705804560278731E-07,  5.687486753390762E-03,  9.847578047554508E-01,  7.053255362205901E-05,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -6.925795178146869E-01,  7.001602277156188E-01, -1.272196695089994E-04, -1.245737625944076E-02, -1.221765439728913E-02, -4.215084233054561E-07,  5.687905537089206E-03,  9.848303149050884E-01,  7.453874089380770E-05,
2453771.500000000, A.D. 2006-Feb-05 00:00:00.0000, -7.049280023658422E-01,  6.878359247787921E-01, -1.276027311514697E-04, -1.223902044290434E-02, -1.243025092827019E-02, -3.397308737896876E-07,  5.688348332309243E-03,  9.849069825208114E-01,  7.884514373522695E-05,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000, -7.170564340382127E-01,  6.753011234768364E-01, -1.278905696273133E-04, -1.201728984336085E-02, -1.263865463847109E-02, -2.322756489605510E-07,  5.688816816595185E-03,  9.849880980604145E-01,  8.342979489436568E-05,
