JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2453756.500000000, A.D. 2006-Jan-21 00:00:00.0000,  1.477859945023776E-01,  1.552058152390764E+00,  2.881737336413066E-02, -1.340676098704406E-02,  2.489917614560919E-03,  3.813243040504954E-04,  9.006023448316389E-03,  1.559344621814337E+00,  1.214711722655251E-03,
2453758.500000000, A.D. 2006-Jan-23 00:00:00.0000,  1.209513081495703E-01,  1.556794969579644E+00,  2.957544998283588E-02, -1.342720923628564E-02,  2.246969156490250E-03,  3.767361756705909E-04,  9.020010870764310E-03,  1.561766468936141E+00,  1.207077970435827E-03,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000,  9.408001035827565E-02,  1.561046329960322E+00,  3.032425428436634E-02, -1.344337831826248E-02,  2.004472132916120E-03,  3.720523841177829E-04,  9.033908134884023E-03,  1.564172705627325E+00,  1.199102183230439E-03,
2453762.500000000, A.D. 2006-Jan-27 00:00:00.0000,  6.718062408639329E-02,  1.564813204030208E+00,  3.106359723491399E-02, -1.345530367240470E-02,  1.762493909215295E-03,  3.672751952430725E-04,  9.047711321697648E-03,  1.566562653337905E+00,  1.190789865916622E-03,
2453764.500000000, A.D. 2006-Jan-29 00:00:00.0000,  4.026160068454046E-02,  1.568096695441984E+00,  3.179329435107302E-02, -1.346302148635126E-02,  1.521100345256605E-03,  3.624069121663278E-04,  9.061416575155530E-03,  1.568935644413578E+00,  1.182146473616696E-03,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000,  1.333131867394781E-02,  1.570898038085194E+00,  3.251316566741229E-02, -1.346656846846865E-02,  1.280355786130149E-03,  3.574497830366900E-04,  9.075020102027039E-03,  1.571291022076819E+00,  1.173177390374419E-03,
2453768.500000000, A.D. 2006-Feb-02 00:00:00.0000, -1.360191738578666E-02,  1.573218593226280E+00,  3.322303570465065E-02, -1.346598180831474E-02,  1.040323194969020E-03,  3.524060123431438E-04,  9.088518171877650E-03,  1.573628140422914E+00,  1.163888034185395E-03,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -4.052987793374823E-02,  1.575059846690058E+00,  3.392273343214029E-02, -1.346129926329453E-02,  8.010642318611273E-04,  3.472778275385136E-04,  9.101907117024353E-03,  1.575946364412235E+00,  1.154283912475656E-03,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000, -6.744440938555990E-02,  1.576423406070700E+00,  3.461209224043523E-02, -1.345255909873758E-02,  5.626390668038898E-04,  3.420674522292950E-04,  9.115183332397407E-03,  1.578245069846307E+00,  1.144370416188290E-03,
2453774.500000000, A.D. 2006-Feb-08 00:00:00.0000, -9.433743500915884E-02,  1.577310997988998E+00,  3.529094990210891E-02, -1.343979993872205E-02,  3.251064733000178E-04,  3.367770590959189E-04,  9.128343275396935E-03,  1.580523643342974E+00,  1.134152885962600E-03,
