JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
2445243.500000000, A.D. 1982-Oct-01 00:00:00.0000, -8.802182203352899E+00, -4.071095034407390E+00,  4.208915233105950E-01,  2.046471352061272E-03, -5.074120643774297E-03,  7.230311207429688E-06,  5.606400568768632E-02,  9.707181671040967E+00,  2.726699580232083E-04,
2445335.500000000, A.D. 1983-Jan-01 00:00:00.0000, -8.602022583333817E+00, -4.532125911468367E+00,  4.209749205589972E-01,  2.304047990849983E-03, -4.947141752618529E-03, -4.956899709869207E-06,  5.620744934986925E-02,  9.732018171239080E+00,  2.671090105024389E-04,
2445425.500000000, A.D. 1983-Apr-01 00:00:00.0000, -8.383560708646971E+00, -4.971242127200662E+00,  4.199478361852907E-01,  2.548590301969396E-03, -4.809221285256965E-03, -1.769058679142151E-05,  5.634422777891973E-02,  9.755700622094786E+00,  2.597571316289681E-04,
2445516.500000000, A.D. 1983-Jul-01 00:00:00.0000, -8.140655320113252E+00, -5.402203736414813E+00,  4.178077411036705E-01,  2.788768209256673E-03, -4.659742959041342E-03, -2.976508586363600E-05,  5.647873368658121E-02,  9.778989598069348E+00,  2.513597091886217E-04,
2445608.500000000, A.D. 1983-Oct-01 00:00:00.0000, -7.873388072359821E+00, -5.823519641017510E+00,  4.145287531356749E-01,  3.020964825665069E-03, -4.497829582048386E-03, -4.140104506181353E-05,  5.661052613539413E-02,  9.801808753208297E+00,  2.439150389695069E-04,
2445700.500000000, A.D. 1984-Jan-01 00:00:00.0000, -7.585170397124331E+00, -6.229361336655122E+00,  4.101457233520386E-01,  3.242745606159984E-03, -4.324091600483441E-03, -5.329162935785653E-05,  5.673780909542277E-02,  9.823847114568149E+00,  2.359252637033030E-04,
2445791.500000000, A.D. 1984-Apr-01 00:00:00.0000, -7.280364237503520E+00, -6.614624170994124E+00,  4.047455674116727E-01,  3.453639794573788E-03, -4.141354375495877E-03, -6.538836387460080E-05,  5.685902476353570E-02,  9.844834956897921E+00,  2.258322727063068E-04,
2445882.500000000, A.D. 1984-Jul-01 00:00:00.0000, -6.956866152966488E+00, -6.982915655892458E+00,  3.983071608949302E-01,  3.654994086205259E-03, -3.950732510991239E-03, -7.648651386272964E-05,  5.697534821712955E-02,  9.864975738541830E+00,  2.159014057303105E-04,
2445974.500000000, A.D. 1984-Oct-01 00:00:00.0000, -6.611769856593384E+00, -7.337143785003718E+00,  3.907630449251887E-01,  3.846284869654060E-03, -3.749055414998510E-03, -8.723312012744891E-05,  5.708768296454662E-02,  9.884425897119911E+00,  2.066403065145889E-04,
2446066.500000000, A.D. 1985-Jan-01 00:00:00.0000, -6.249528477305469E+00, -7.672356777758016E+00,  3.822052396975632E-01,  4.026088588863770E-03, -3.537710864972741E-03, -9.823266025456756E-05,  5.719447296734892E-02,  9.902916012928397E+00,  1.962936577838864E-04,
